"Treatment","Predicted probability to relapse within the next 2 years %","Baseline risk score"
"Untreated",6.54984869985652e-06,0.17
"Untreated",9.90721672629858e-06,0.18
"Untreated",1.47244218974867e-05,0.19
"Untreated",2.1543855120278e-05,0.2
"Untreated",3.108273941042e-05,0.21
"Untreated",4.42833189541045e-05,0.22
"Untreated",6.23763540618124e-05,0.23
"Untreated",8.69613059840794e-05,0.24
"Untreated",0.000120107444217521,0.25
"Untreated",0.000164481169551865,0.26
"Untreated",0.000223506170721438,0.27
"Untreated",0.000301564684986614,0.28
"Untreated",0.00040425019094259,0.29
"Untreated",0.000538684418556501,0.3
"Untreated",0.00071391472669883,0.31
"Untreated",0.000941411798124201,0.32
"Untreated",0.00123569237410668,0.33
"Untreated",0.00161509753658054,0.34
"Untreated",0.00210276396849996,0.35
"Untreated",0.00272783375320851,0.36
"Untreated",0.00352695756218926,0.37
"Untreated",0.00454615625030622,0.38
"Untreated",0.00584311624213925,0.39
"Untreated",0.00749000326894446,0.4
"Untreated",0.00957688447687986,0.41
"Untreated",0.0122158463359457,0.42
"Untreated",0.0155458780279427,0.43
"Untreated",0.0197385459091888,0.44
"Untreated",0.0250043974166426,0.45
"Untreated",0.0315998783898469,0.46
"Untreated",0.0398342942288258,0.47
"Untreated",0.0500759545069855,0.48
"Untreated",0.0627560762663191,0.49
"Untreated",0.0783682680502407,0.5
"Untreated",0.0974605190009057,0.51
"Untreated",0.120615741634998,0.52
"Untreated",0.148416434572815,0.53
"Untreated",0.181389585715634,0.54
"Untreated",0.219930405054326,0.55
"Untreated",0.264208683537722,0.56
"Untreated",0.31406961726012,0.57
"Untreated",0.368950219580383,0.58
"Untreated",0.427839033769387,0.59
"Untreated",0.489305284348167,0.6
"Untreated",0.551609911654797,0.61
"Untreated",0.612886877361922,0.62
"Untreated",0.671357937052753,0.63
"Untreated",0.725530443016199,0.64
"Untreated",0.774333498872247,0.65
"Untreated",0.817169984378656,0.66
"Untreated",0.853888942818256,0.67
"Untreated",0.884702409870456,0.68
"Untreated",0.910077340573995,0.69
"Untreated",0.93062879311008,0.7
"Untreated",0.947030700289247,0.71
"Untreated",0.959950716834222,0.72
"Untreated",0.970008614575324,0.73
"Untreated",0.977754018354455,0.74
"Untreated",0.983658171982439,0.75
"Untreated",0.988114825086632,0.76
"Untreated",0.991446366402931,0.77
"Untreated",0.993912459398572,0.78
"Untreated",0.995719405409287,0.79
"Untreated",0.997029189228869,0.8
"Untreated",0.997967664245196,0.81
"Untreated",0.998631654919671,0.82
"Untreated",0.999094944494579,0.83
"Untreated",0.99941321847732,0.84
"Untreated",0.999628082060871,0.85
"Untreated",0.999770284615406,0.86
"Untreated",0.999862281375262,0.87
"Untreated",0.999920250554014,0.88
"Untreated",0.999955668733364,0.89
"Untreated",0.999976531490939,0.9
"Untreated",0.999988291395081,0.91
"Untreated",0.999994572374468,0.92
"Untreated",0.99999770825545,0.93
"Untreated",0.999999143884598,0.94
"Untreated",0.999999729534248,0.95
"Untreated",0.999999932998994,0.96
"Untreated",0.999999988704396,0.97
"Untreated",0.999999999057097,0.98
"Untreated",0.999999999985874,0.99
